注：除强化后增加的属性，属性表中的“+”代表属性的最值即浮动区间；若为单独数字则表示基础属性固定
装备名,职业,品质,生命,魔法,攻击,防御,暴击,闪避,回血,回蓝,吸血,魔抗,命中,泣血,强化后增加属性,描述
壁水袍,唐僧,优秀,65+5,115+5,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,生命+20 蓝量+40 防御2.5,一切有为法。如梦幻泡影，如露亦如电。应作如是观
氐土铠,八戒,优秀,165+5,45+5,0.0,20+5,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,生命+40 蓝量+18 防御+5,我本因地，以念佛心，入无生忍，今于此界，摄念佛人，归于净土
枯叶剑,白龙,优秀,0.0,0.0,15+1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,攻击+5,曾斩魑魅首，怒断魍魉喉
枯叶袍,白龙,优秀,125+5,65+5,0.0,15+5,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,生命+40 蓝量+20 防御+4,群叶以覆，片片杀生
青云冰刀,悟空,精良,0.0,0.0,45+5,0.0,0.04,0.0,0.0,3.0,0.0,0.0,0.0,0.0,攻击+8.5 暴击+0.0125,凝霜夜，幽香梦，枕边人赴烽火，吹起一帘牵挂
青云法袍,唐僧,精良,145+5,295+5,0.0,8+5,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,生命+50 蓝量+100 防御+4.5,碧天阔，白云散，百万里无硝烟，大雁向南飞去
青云手镯,饰品,精良,0.0,0.0,37+6,55+5,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,攻击+8 防御+7 暴击+0.0132,珠有泪，玉生烟，稀白头不胜簪，只是当时惘然
混元龙铠,八戒,精良,445+5,105+5,0.0,75+5,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,生命+140 蓝量+35 防御+12,龙吟恨，且回首，却在灯火阑珊
混元雷叉,沙僧,精良,0.0,0.0,43+5,0.0,0.03,0.0,6.0,3.0,0.0,0.0,0.0,0.0,攻击+9 暴击+0.01,倾盆雨，惊天雷，众里寻他而去
混元灵杖,唐僧,精良,0.0,0.0,47+5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,攻击+16 回蓝+2,损愁眉，哭断肠，待到佳期如梦
胃土耙,八戒,精良,0.0,0.0,48+5,0.0,0.03,0.0,18.0,3.0,0.0,0.0,0.0,0.0,攻击+16 回血+4,当舍于懈怠，远离诸愦闹；寂静常知足，是人当解脱
翼火甲,悟空,精良,325+5,145+5,0.0,60+5,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,生命+100 蓝量+50 防御+7.5,汝修三昧，本出尘劳。淫心不除，尘不可出
井木衣,沙僧,精良,215+5,215+5,0.0,40+5,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,生命+66 蓝量+66 防御+6,菩提本无树，明镜亦非台。本来无疑物，何处染尘埃
赤龙剑,白龙,精良,0.0,0.0,45+5,0.0,0.04,0.0,0.0,3.0,0.0,0.0,0.0,0.0,攻击+8.5 暴击+0.0125,古枪寒黯黯，铸来几千秋
赤龙袍,白龙,精良,325+5,145+5,0.0,60+5,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,生命+100 蓝量+50 防御+7.5,珠坠鲛人泪，袍闪波涛光
紫金开山斧,八戒,史诗,0.0,0.0,105+5,0.0,0.03,0.0,18.0,4.0,0.0,0.0,0.0,0.0,攻击+20 回血+5,人间如梦，红尘万丈，劈不断相思情
紫金轻甲,悟空,史诗,675+5,285+5,0.0,145+5,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,生命+200 蓝量+100 防御+15.5,恨悠悠，几时休。爱轻轻，随风行
紫金镔铁棍,悟空,史诗,0.0,0.0,75+5,0.0,0.05,0.0,0.0,4.0,0.0,0.0,0.0,0.0,攻击+13.5 暴击+0.0142,人间道，路远茫，相逢终有期
卷帘绿魔,沙僧,史诗,425+5,425+5,0.0,130+5,0.0,0.0,2.0,2.0,0.0,0.08,0.0,0.0,生命+140 蓝量+140 防御+12 ,风卷云残，俱消往昔，既然无缘，何立誓言
山河社稷图,饰品,史诗,650.0,450.0,75.0,90.0,0..08,0.0,12.0,6.0,0.0,0.03,0.0,3.0,生命+65 蓝量+60 攻击+15 防御+23 ,英雄泪，只为江山。万里山河，千里孤城，破国恨，永难忘
嗜魔杖,唐僧,史诗,0.0,0.0,100+5,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,攻击+16 回蓝+2,魔非魔，念人间，怎知情愁滋味
银弹金弓,沙僧,史诗,0.0,0.0,74+5,0.0,0.05,0.0,0.0,5.0,0.0,0.0,0.0,0.0,攻击+13 暴击+0.0142,挽金弓，如满月，望人间，凝伫久
顽石金刚,八戒,史诗,935+5,210+5,0.0,125+5,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,生命+300 蓝量+75 防御+17 魔抗+0.0072,心若顽石，不生多情，多情空于恨，此恨无绝期
红莲教皇,唐僧,史诗,285+5,575+5,0.0,10+2,0.0,0.0,0.0,3.0,0.0,0.08,0.0,0.0,生命+90 蓝量+180 防御+13 回蓝+2,一种相思，两处闲愁，火焰化红莲，此情自消衍
金仙擎天剑,白龙,史诗,0.0,0.0,75+5,0.0,0.05,0.0,0.0,4.0,0.0,0.0,0.0,0.0,攻击+13.5 暴击+0.0142,一从化真骨，万里乘飞电
金仙纵天袍,白龙,史诗,675+5,285+5,0.0,145+5,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,生命+200 蓝量+100 防御+15.5,东海精为月，西岳气凝金
通风灵戒,饰品,优秀,115+5,105+5,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,生命+30 蓝量+30 回蓝+1,风过处，百花残，心有意，爱无伤
马官指环,饰品,精良,285+5,190+5,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,生命+45 蓝量+35 ,马行处，雪无痕，相见难，别亦难
提多罗吒戒,饰品,史诗,500+5,400+5,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,生命+65 蓝量+60 防御+6 魔抗+0.00286,殿可毁，人可亡，恨犹在，何时还
六耳衫,悟空,邪灵,0.0,0.0,105.0,180.0,0.05,0.0,3.0,0.0,0.0,0.1,0.0,0.0,攻击+20 防御+16.5 回血+4,亦正亦邪
六耳棍,悟空,邪灵,0.0,0.0,175.0,0.0,0.06,0.0,0.0,17.0,0.0,0.0,0.0,0.0,攻击+25 暴击+0.0143
厄夜,悟空,邪灵,1200.0,0.0,90+5,180.0,0.05,0.0,-1.0,0.0,0.0,0.1,0.0,0.0,攻击+20 回血-2 防御+16.5
残昼,唐僧,邪灵,-100.0,775+5,140+8,125.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,攻击+25 生命-60 防御+14
如狱,八戒,邪灵,1995+5,-100.0,0.0,225+5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,生命+200 蓝量-40 防御+17.5 魔抗+0.0072
犹绝,沙僧,邪灵,900+5,500+5,0.0,155.0,0.0,0.06,0.0,0.0,0.0,0.1,0.0,0.0,防御-5 闪避+0.01
逆渊,白龙,邪灵,1200.0,0.0,90+5,180.0,0.05,0.0,-1.0,0.0,0.0,0.1,0.0,0.0,攻击+20 回血-2 防御+16.5
天荒,悟空,邪灵,0.0,0.0,150+5,0.0,0.06,0.0,0.0,12.0,0.0,0.0,0.0,0.0,攻击+20 暴击+0.0143
天残,唐僧,邪灵,0.0,755+5,185+5,0.0,0.05,0.0,0.0,14.0,0.0,0.0,0.0,0.0,攻击+25 蓝量+210
天罪,八戒,邪灵,1000.0,240.0,200+5,0.0,0.04,0.0,0.0,11.0,0.0,0.04,0.0,0.0,攻击+25
天殇,沙僧,邪灵,0.0,0.0,130+5,0.0,0.05,0.06,0.0,13.0,0.0,0.0,0.0,0.0,攻击+15 暴击+0.0132
天谴,白龙,邪灵,0.0,0.0,150+5,0.0,0.06,0.0,0.0,12.0,0.0,0.0,0.0,0.0,攻击+20 暴击+0.0143
玲珑玉,饰品,邪灵,1000.0,850.0,130.0,180.0,0.13,0.05,0.0,0.0,0.0,0.05,0.0,0.0,生命+130 蓝量+75 攻击+20 防御+28 
地藏戒,饰品,史诗,继承小件三分之二的属性（包括强化及打造时嵌入的属性），具体可自行计算——饰品本身不可强化（地藏金戒不继承山河图中的泣血属性）,,,,,,,,,,,,,消除业障
地藏金戒,饰品,传说,,,,,,,,,,,,,,世尊地藏，般若诸佛
紫炎,饰品,传说,1500.0,1200.0,240.0,500.0,0.1,0.06,18.0,9.0,0.0,0.06,0.0,0.0,生命+100 蓝量+100 攻击+25 防御+15  暴击+0.01,如今岂无騕袅与骅骝，时无王良伯乐死即休。
紫金降魔铲,沙僧,史诗,0.0,0.0,72+5,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,攻击+7.5 暴击+0.0132,以紫金造就的神铲，铲除妖魔无所不能
不屑狗,头衔,优秀,111.0,111.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,头衔类不可强化,最适合单身狗的头衔了！
含羞狗,头衔,精良,111.0,111.0,11.0,1.0,0.01,0.01,1.0,1.0,0.0,0.01,0.0,0.0
色色狗,头衔,史诗,1111.0,1111.0,111.0,11.0,0.01,0.01,1.0,1.0,0.0,0.01,0.0,0.0
蓝瘦狗,头衔,传说,1111.0,1111.0,111.0,11.0,0.11,0.11,1.0,1.0,0.0,0.01,0.0,0.0
怨念狗,头衔,神器,1111.0,1111.0,111.0,11.0,0.11,0.11,11.0,11.0,0.0,0.01,0.0,0.0
独孤狗,头衔,神器,1111.0,1111.0,111.0,11.0,0.11,0.11,11.0,11.0,0.0,0.11,0.0,0.0
混世魔王,头衔,神器,3333.0,3333.0,333.0,999.0,0.11,0.11,33.0,11.0,0.0,0.11,0.0,9.0,,我就是混世魔王，哈哈哈哈！
光棍节脱光,头衔,史诗,1111.0,1111.0,111.0,11.0,0.11,0.11,11.0,11.0,0.0,0.11,0.11,1.0,,11·11，光棍节绝版头衔
七曜战神,头衔,优秀,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,云衔七曜起，雨拂九门来
七曜战神,头衔,精良,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
七曜战神,头衔,史诗,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
七曜战神,头衔,传说,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
炎龙铠甲,悟空,魂器,1300.0,0.0,100+5,0.0,0.05,0.0,1.0,0.0,0.0,0.1,0.0,0.0,攻击+20 防御+16.5 回血+2,升腾炎上无限火之炎龙铠甲
烈焰刃,悟空,魂器,0.0,0.0,170+5,0.0,0.06,0.0,0.0,17.0,0.0,0.0,0.0,0.0,攻击+25 暴击+0.0143,"烈焰刀之封魔斩帖,斩邪除怪,熔于烈焰,消于晨曦"
黑犀铠甲,唐僧,魂器,100.0,775+5,160+5,125.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,血量+100 攻击+30 防御+14,"黑犀侠滋润掩藏,但发出狂啸的力量,召唤水之黑犀铠甲"
流星枪,唐僧,魂器,0.0,755+5,205+5,0.0,0.05,0.0,0.0,19.0,0.0,0.0,0.0,0.0,攻击+30 蓝量+210,"流星枪之狂瀑扎帖,碎魔伏暴,灭于狂瀑,平如镜水"
雪獒铠甲,八戒,魂器,1995+5,100.0,0.0,225+5,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,血量+200 蓝量+100 防御+17.5 魔抗+0.0072,雪獒侠他有能刚能柔之金的力量
震雷斧,八戒,魂器,1000.0,240.0,210+5,0.0,0.05,0.0,0.0,16.0,0.0,0.04,0.0,0.0,攻击+30 ,震雷斧之震雷削帖，破恶绝煞，削之如泥，浑沌尽散
风鹰铠甲,沙僧,魂器,900+5,500+5,0.0,155.0,0.0,0.06,0.0,0.0,0.0,0.1,0.0,0.0,防御+15 闪避+0.01 魔抗+0.0072,风鹰侠曲直屈伸就是巨木的力量
风轮剑,沙僧,魂器,0.0,0.0,150+5,0.0,0.05,0.06,0.0,18.0,0.0,0.0,0.0,0.0,攻击+20 暴击+0.0142,风鹰剑之穿风刺帖，降妖化兽，破于疾风，止于瞬间
虬龙甲,悟空,魂器,2395+5,555+5,0.0,495+5,0.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,血量+280 蓝量+140 防御+19 回血+5,英灵千载魂
虬龙棍,悟空,魂器,0.0,0.0,230+5,0.0,0.06+0.01,0.0,0.0,36.0,0.0,0.1,0.0,0.0,攻击+26 暴击+0.0172 回蓝+1
蟠龙杖,唐僧,魂器,0.0,655+5,275+5,0.0,0.05+0.01,0.0,0.0,38.0,0.0,0.0,0.0,0.0,攻击+32 蓝量+100 回蓝+2
蟠龙袍,唐僧,魂器,655+5,1305+5,0.0,400+5,0.0,0.0,0.0,4+1,0.0,0.1,0.0,0.0,血量+140 蓝量+140 防御+17 回蓝+1
应龙斧,八戒,魂器,1200.0,0.0,300+5,0.0,0.05+0.01,0.0,15+3,0.0,0.0,0.04,0.0,0.0,血量+150 攻击+33 回血+5
应龙铠,八戒,魂器,2895+5,455+5,0.0,565+5,0.0,0.0,21+3,0.0,0.0,0.12,0.0,0.0,血量+450 蓝量+60 防御+22 回血+8 魔抗+0.01
蛟龙弓,沙僧,魂器,0.0,0.0,185+5,0.0,0.05+0.01,0.0,0.0,5+1,0.0,0.0,0.0,0.0,攻击+23 暴击+0.0143 闪避+0.01
蛟龙铲,沙僧,魂器,0.0,0.0,185+5,0.0,0.05+0.01,0.02+0.01,0.0,4.0,0.0,0.0,0.0,0.0,攻击+24 暴击+0.0143 回蓝+2
蛟龙甲,沙僧,魂器,700+5,690+5,0.0,450+5,0.0,0.12,9+1,5+1,0.0,0.1,0.0,0.0,血量+200 蓝量+190 防御+18.5 回血+4
螭龙剑,白龙,魂器,0.0,0.0,230+5,0.0,0.06+0.01,0.0,0.0,36.0,0.0,0.1,0.0,0.0,攻击+26 暴击+0.0172 回蓝+1
螭龙袍,白龙,魂器,2395+5,555+5,0.0,495+5,0.0,0.0,15.0,4.0,0.0,,0.0,0.0,血量+280 蓝量+140 防御+19 回血+5
擎天柱,悟空,传说,0.0,0.0,355+5,0.0,0.09+0.01,0.0,0.0,36.0,0.0,0.0,0.0,0.0,攻击+35 暴击+0.0142 回蓝+1,撑天之柱，刑天与帝争神，大闹天庭时，坠入地狱
大圣战铠,悟空,传说,3505+5,750+5,0.0,785+5,0.0,0.03,20+1,0.0,0.0,0.15,0.0,0.0,血量+350 蓝量+180 防御+34 回血+5,四海龙王何所惧，逆鳞为甲护金身
轮回杖,唐僧,传说,0.0,1155+5,445+5,0.0,0.05+0.01,0.0,0.0,38.0,0.0,0.0,0.0,0.0,蓝量+150 攻击+45 回蓝+3,禁锢刑天于十八层地狱之中，六道轮回，生生世世，永无止境
锦襕袈裟,唐僧,传说,995+5,1935+5,0.0,500+5,0.0,0.0,0.0,6+2,0.0,0.0,0.0,0.0,血量+170 蓝量+210 防御+27 回蓝+4,且看西行多险阻，观音赠袍，笑把金蝉护
九齿钉耙,八戒,传说,1500+5,0.0,495+5,0.0,0.05+0.01,0.0,18.0,32.0,0.0,0.05,0.0,0.0,血量+250 攻击+50  回血+4 回蓝+1,太上老君用神冰铁亲自锤炼，借五方五帝、六丁六甲之力锻造而成，重量有一藏之数，连柄五千零四十八斤
天蓬战衣,八戒,传说,4655+5,625+5,0.0,905+5,0.0,0.0,7+2,0.0,0.0,0.15,0.0,0.0,血量+450 蓝量+140 防御+35 回蓝+5 魔抗+0.01,纵使相逢应不识，战衣在身，天蓬始终如
摩多苍穹弓,沙僧,传说,0.0,0.0,315+5,0.0,0.06+0.01,0.04+0.01,0.0,37.0,0.0,0.0,0.0,0.0,攻击+32 暴击+0.0142 闪避+1 回蓝+1,难将一人手，掩得天下目
摩多分浪铲,沙僧,传说,0.0,0.0,315+5,0.0,0.06+0.01,0.04+0.01,0.0,37.0,0.0,0.0,0.0,0.0,,通当为大鹏，举翅摩苍穹
摩多月衫,沙僧,传说,1795+5,955+5,0.0,605+5,0.0,0.07,18.0,4+1,0.0,0.1,0.0,0.0,血量+210 蓝量+190 防御+32 回血+4,愿君如陇水，冰镜水还流
血海绝心剑,白龙,传说,0.0,0.0,355+5,0.0,0.08,0.0,0.0,36.0,0.0,0.0,0.0,0.0,攻击+35 暴击+0.0157 回蓝+1,势如破竹，所向披靡
血海灭灵袍,白龙,传说,3505+5,750+5,0.0,785+5,0.0,0.03,20+1,0.0,0.0,0.15,0.0,0.0,血量+350 蓝量+180 防御+34 回血+5,铜墙铁壁，坚不可摧
枯叶灵,法宝,优 秀,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,法宝可以放在炼丹炉强化吗？显然不能,缓慢回复少许生命
宣花葫芦,法宝,精 良,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,有一定概率捕捉宠物
青云剑,法宝,精 良,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,御剑飞行
混元珍珠伞,法宝,精 良,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,抵挡一定伤害
紫金铃铛,法宝,史 诗,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,提供人物无敌时间以及恢复部分生命值
神叶灵,法宝,魂 器,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,缓慢回复生命与魔法
戮仙剑,法宝,魂 器,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,释放多支剑，对敌人造成多重伤害
混元无极伞,法宝,魂 器,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,抵挡大量伤害以及反弹部分伤害，如果效果结束后盾量
还有剩余，则部分转化为自己的生命
青龙剑,法宝,魂器,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,御剑飞行
血海魔童,法宝,史 诗,500.0,200.0,70.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,拥有【魔童连击】技能，对随机怪物造成多次伤害，其攻击且带有
【破防】效果，使用完毕后立即产生随机的奇妙效果
九佑魂莲,法宝,灵器,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"双生莲散发幽香,沁心四方，莲灵附体玩家,提升攻击;莲魂附体敌方,降低攻击"
烛时金轮,法宝,传说,750.0,750.0,100.0,40.0,0.05,0.02,15.0,7.0,0.0,0.0,0.0,0.0,,使用记录角色当前时刻的位置、生命、魔法，再次使用时光倒流至记录时刻的状态
摩多魂帆,法宝,神器,1150.0,850.0,150.0,55.0,0.08,0.03,19.0,9.0,0.0,0.0,0.0,0.0,,"唤恶魂环绕自身，持续一段时间，受到攻击时攻击者会获得【恶魂缠身】诅咒"""
奢天化雪令,法宝,神器,980.0,800.0,165.0,50.0,0.08,0.05,15.0,10.0,0.0,0.0,0.0,0.0,,使用后场景内骤降大雪，使敌方单位获得巨额伤害和冰冻效果
流邪,法宝,邪灵,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,入魔后攻击暴击小幅提升，但会持续扣血
沙邪,法宝,邪灵,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,入魔后攻击暴击中幅提升，但会持续扣血
渊邪,法宝,邪灵,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,入魔后将扣除一半生命值，攻击和暴击大幅提升
震雷天锤,法宝,神器,2015.0,1792.0,416.0,304.0,0.04,0.02,18.0,12.0,0.0,0.02,0.02,12.0,,敲击后慑周围怪物，造出伤害和眩晕
太极八卦,法宝,传说,2880.0,2560.0,520.0,380.0,0.08,0.05,36.0,24.0,0.0,0.03,0.05,81.0,,【被动】玩家阵亡后立即复活【主动】眩晕全屏怪物一段时间
青萍剑,法宝,神器,2880.0,2560.0,520.0,380.0,0.08,0.05,36.0,24.0,0.0,0.03,0.05,81.0,,召唤数支飞剑穿击敌人，且处于为使用状态时，每数秒召唤一支剑
牛魔王装,时装,普通,1+19,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,不建议强化，后续合成并不会继承属性,3个相同的时装可以合成更高品质的时装
牛魔王装,时装,优秀,40+60,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,3个相同的时装可以合成更高品质的时装，拥有献祭无双
牛魔王装,时装,精良,80+120,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,3个相同的时装可以合成更高品质的时装，拥有献祭无双
牛魔王装,时装,史诗,160+240,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,生命+200,到达最高品质，拥有献祭无双
转轮王装,时装,普通,0.0,1+19,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,不建议强化，后续合成并不会继承属性,3个相同的时装可以合成更高品质的时装
转轮王装,时装,优秀,0.0,40+60,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,3个相同的时装可以合成更高品质的时装，拥有锁轮无双
转轮王装,时装,精良,0.0,80+120,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,3个相同的时装可以合成更高品质的时装，拥有锁轮无双
转轮王装,时装,史诗,0.0,160+240,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,蓝量+200,到达最高品质，拥有锁轮无双
神秘商人装,时装,普通,1+9,1+9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,不建议强化，后续合成并不会继承属性,3个相同的时装可以合成更高品质的时装
神秘商人装,时装,优秀,20+30,20+30,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"3个相同的时装可以合成更高品质的时装,拥有回天无双"
神秘商人装,时装,精良,40+60,40+60,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"3个相同的时装可以合成更高品质的时装,拥有回天无双"
神秘商人装,时装,史诗,80+120,80+120,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,攻击+16,"到达最高品质,拥有回天无双"
天庭战神装,时装,普通,1+20,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,不建议强化，后续合成并不会继承属性,3个相同的时装可以合成更高品质的时装
天庭战神装,时装,优秀,40+60,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,,3个相同的时装可以合成更高品质的时装，拥有破甲无双
天庭战神装,时装,精良,80+120,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,,3个相同的时装可以合成更高品质的时装，拥有破甲无双
天庭战神装,时装,史诗,160+240,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,攻击+16,到达最高品质，拥有破甲无双
武状元装,时装,状元,2888.0,288.0,188.0,18.0,0.0,0.0,18.0,8.0,0.0,0.08,0.0,0.0,0.0,"金榜题名时,独占鳌头"
文状元装,时装,状元,2888.0,288.0,188.0,18.0,0.0,0.0,18.0,8.0,0.0,0.0,0.08,0.0,,"金榜题名时,独占鳌头"
鸣人时装,时装,鸣人,2888.0,288.0,188.0,18.0,0.0,0.05,18.0,8.0,0.0,0.0,0.0,0.0,,来自异世界的神秘力量，漩涡一族的最强天才
八神时装,时装,八神,2888.0,288.0,188.0,18.0,0.08,0.0,18.0,8.0,0.0,0.0,0.0,0.0,,"不要再做无用之功了,你的防御真碍事"
装备名,职业,品质,生命,魔法,攻击,防御,暴击,闪避,回血,回蓝,吸血,魔抗,命中,泣血,强化后增加的属性,描述
